SettlementPoint,Year,Month,AveragePrice
LZ_HOUSTON,2017,2,23.517217261904765
LZ_HOUSTON,2017,3,28.742005383580064
LZ_HOUSTON,2017,4,32.96706944444447
LZ_HOUSTON,2017,5,32.36264784946243
LZ_HOUSTON,2017,6,33.668916666666625
LZ_HOUSTON,2017,7,34.72583333333334
LZ_HOUSTON,2017,8,30.031478494623677
LZ_HOUSTON,2017,9,27.41002777777777
LZ_HOUSTON,2017,10,31.339381720430104
LZ_HOUSTON,2017,11,26.33962499999996
LZ_HOUSTON,2017,12,21.979784946236585
LZ_HOUSTON,2018,1,38.044986559139794
LZ_HOUSTON,2018,2,22.375848214285735
LZ_HOUSTON,2018,3,23.933458950201892
LZ_HOUSTON,2018,4,24.728347222222226
LZ_HOUSTON,2018,5,35.53303763440861
LZ_HOUSTON,2018,6,31.80234722222222
LZ_HOUSTON,2018,7,79.56653225806457
LZ_HOUSTON,2018,8,32.159623655913954
LZ_HOUSTON,2018,9,27.722416666666632
LZ_HOUSTON,2018,10,31.781115591397857
LZ_HOUSTON,2018,11,31.730333333333313
LZ_HOUSTON,2018,12,30.462069892473117
LZ_HOUSTON,2019,1,25.55008064516131
LZ_HOUSTON,2019,2,21.644255952380963
LZ_HOUSTON,2019,3,28.080323014804854
LZ_HOUSTON,2019,4,24.264583333333338
LZ_HOUSTON,2019,5,25.153615591397852
LZ_HOUSTON,2019,6,27.2267361111111
LZ_HOUSTON,2019,7,30.013064516129045
LZ_HOUSTON,2019,8,126.69338709677426
LZ_HOUSTON,2019,9,80.77929166666665
LZ_HOUSTON,2019,10,30.642379032258074
LZ_HOUSTON,2019,11,24.18161111111111
LZ_HOUSTON,2019,12,18.919852150537647
LZ_LCRA,2016,1,19.31745967741934
LZ_LCRA,2016,2,15.488548850574706
LZ_LCRA,2016,3,16.79629878869449
LZ_LCRA,2016,4,18.39270833333334
LZ_LCRA,2016,5,18.18278225806455
LZ_LCRA,2016,6,24.16441666666668
LZ_LCRA,2016,7,27.592217741935475
LZ_LCRA,2016,8,31.175577956989258
LZ_LCRA,2016,9,27.03994444444444
LZ_LCRA,2016,10,26.068440860215063
LZ_LCRA,2016,11,19.541680555555562
LZ_LCRA,2016,12,25.487876344086036
